value,metric,gen,run,enemy_group,enemy
32.48134441863522,max,8,1,,0.0
6.65831203726471,mean,8,1,,0.0
32.48134441863522,max,9,1,,0.0
8.541461260355783,mean,9,1,,0.0
32.48134441863522,max,10,1,,0.0
9.018961774569807,mean,10,1,,0.0
32.48134441863522,max,11,1,,0.0
9.904229762379236,mean,11,1,,0.0
32.48134441863522,max,12,1,,0.0
5.122003072660949,mean,12,1,,0.0
32.48134441863522,max,13,1,,0.0
10.905463956875998,mean,13,1,,0.0
32.48134441863522,max,14,1,,0.0
9.584507374777615,mean,14,1,,0.0
32.48134441863522,max,15,1,,0.0
10.747126312990314,mean,15,1,,0.0
32.48134441863522,max,16,1,,0.0
10.797397675266968,mean,16,1,,0.0
32.48134441863522,max,17,1,,0.0
10.801180249350413,mean,17,1,,0.0
32.48134441863522,max,18,1,,0.0
6.445041284644456,mean,18,1,,0.0
32.48134441863522,max,19,1,,0.0
11.15318542724206,mean,19,1,,0.0
20.20289295846402,max,0,2,,0.0
-2.7006032130896642,mean,0,2,,0.0
20.514422794286446,max,1,2,,0.0
1.571303433613752,mean,1,2,,0.0
24.287732414553624,max,2,2,,0.0
4.842372576047884,mean,2,2,,0.0
28.15298009600414,max,3,2,,0.0
7.87072512270453,mean,3,2,,0.0
28.15298009600414,max,4,2,,0.0
8.91706633017737,mean,4,2,,0.0
36.518950881202954,max,5,2,,0.0
9.159314290239616,mean,5,2,,0.0
36.518950881202954,max,6,2,,0.0
9.78480649432593,mean,6,2,,0.0
36.518950881202954,max,7,2,,0.0
8.968541558162284,mean,7,2,,0.0
36.518950881202954,max,8,2,,0.0
9.012977486279416,mean,8,2,,0.0
36.518950881202954,max,9,2,,0.0
8.199602611054233,mean,9,2,,0.0
36.518950881202954,max,10,2,,0.0
8.89024379071546,mean,10,2,,0.0
36.518950881202954,max,11,2,,0.0
8.350706605589414,mean,11,2,,0.0
36.518950881202954,max,12,2,,0.0
10.591551160293234,mean,12,2,,0.0
36.71594172916754,max,13,2,,0.0
10.792536852479623,mean,13,2,,0.0
36.71594172916754,max,14,2,,0.0
8.889419864766927,mean,14,2,,0.0
36.71594172916754,max,15,2,,0.0
8.84138933014426,mean,15,2,,0.0
36.71594172916754,max,16,2,,0.0
8.154709413588337,mean,16,2,,0.0
36.71594172916754,max,17,2,,0.0
11.69101144604094,mean,17,2,,0.0
36.71594172916754,max,18,2,,0.0
10.735848593935712,mean,18,2,,0.0
36.71594172916754,max,19,2,,0.0
9.100411958894213,mean,19,2,,0.0
18.903865530918015,max,0,3,,0.0
-3.448959480909203,mean,0,3,,0.0
20.077953105566646,max,1,3,,0.0
-0.35002367551956326,mean,1,3,,0.0
25.343076934414903,max,2,3,,0.0
1.6853920006685532,mean,2,3,,0.0
27.710801325222988,max,3,3,,0.0
3.8542678758825826,mean,3,3,,0.0
27.710801325222988,max,4,3,,0.0
5.543678180652346,mean,4,3,,0.0
27.710801325222988,max,5,3,,0.0
5.713408755438589,mean,5,3,,0.0
27.710801325222988,max,6,3,,0.0
5.804597551052248,mean,6,3,,0.0
27.710801325222988,max,7,3,,0.0
4.611954226009059,mean,7,3,,0.0
28.077579836303606,max,8,3,,0.0
5.412048307462209,mean,8,3,,0.0
28.077579836303606,max,9,3,,0.0
7.080585622765721,mean,9,3,,0.0
28.15298009600414,max,10,3,,0.0
8.570199996341021,mean,10,3,,0.0
28.574653928973532,max,11,3,,0.0
8.615791212465279,mean,11,3,,0.0
28.574653928973532,max,12,3,,0.0
7.970519207363313,mean,12,3,,0.0
28.574653928973532,max,13,3,,0.0
11.476507946776952,mean,13,3,,0.0
28.574653928973532,max,14,3,,0.0
10.22148993256042,mean,14,3,,0.0
29.423855227221804,max,15,3,,0.0
10.549957262168332,mean,15,3,,0.0
29.423855227221804,max,16,3,,0.0
10.2573654885036,mean,16,3,,0.0
29.423855227221804,max,17,3,,0.0
8.950665631935767,mean,17,3,,0.0
29.423855227221804,max,18,3,,0.0
10.102791817204784,mean,18,3,,0.0
29.910988862325986,max,19,3,,0.0
12.555621351176878,mean,19,3,,0.0
22.96162859102847,max,0,4,,0.0
-3.54249598371516,mean,0,4,,0.0
22.96162859102847,max,1,4,,0.0
-1.9211225058116608,mean,1,4,,0.0
25.254588090143425,max,2,4,,0.0
2.287370432694658,mean,2,4,,0.0
39.594224212692524,max,3,4,,0.0
4.3652512212985695,mean,3,4,,0.0
39.594224212692524,max,4,4,,0.0
5.015288702256016,mean,4,4,,0.0
39.594224212692524,max,5,4,,0.0
