value,metric,gen,run,enemy_group
1.9300065472012904,mean,5,3,1
32.94910256807746,max,6,3,1
1.2274836006713978,mean,6,3,1
32.94910256807746,max,7,3,1
3.784149087953602,mean,7,3,1
34.55381530656088,max,8,3,1
4.794519080055605,mean,8,3,1
34.55381530656088,max,9,3,1
2.2686193159220234,mean,9,3,1
44.590619752214565,max,10,3,1
6.044328672210774,mean,10,3,1
48.99363943245802,max,11,3,1
4.556209195903811,mean,11,3,1
48.99363943245802,max,12,3,1
3.5744169020098413,mean,12,3,1
48.99363943245802,max,13,3,1
4.604420436423075,mean,13,3,1
48.99363943245802,max,14,3,1
4.121068349089554,mean,14,3,1
59.903078316800425,max,15,3,1
5.590627987894716,mean,15,3,1
59.903078316800425,max,16,3,1
6.7260073843187085,mean,16,3,1
59.903078316800425,max,17,3,1
11.990785522226984,mean,17,3,1
59.903078316800425,max,18,3,1
6.888656808533342,mean,18,3,1
59.903078316800425,max,19,3,1
7.467619703547157,mean,19,3,1
8.872954852908801,max,0,4,1
-5.02887598595608,mean,0,4,1
29.478265114506584,max,1,4,1
-1.5281277868635188,mean,1,4,1
30.62345775378957,max,2,4,1
0.01860756604370782,mean,2,4,1
41.29788687067205,max,3,4,1
2.7113389190875377,mean,3,4,1
41.29788687067205,max,4,4,1
3.6964119925341414,mean,4,4,1
41.29788687067205,max,5,4,1
5.741976978425062,mean,5,4,1
41.29788687067205,max,6,4,1
7.055877148495645,mean,6,4,1
41.29788687067205,max,7,4,1
3.9628777766302687,mean,7,4,1
41.29788687067205,max,8,4,1
7.737128445957149,mean,8,4,1
41.29788687067205,max,9,4,1
5.402986971670127,mean,9,4,1
41.29788687067205,max,10,4,1
6.789938369276601,mean,10,4,1
41.29788687067205,max,11,4,1
8.27967642539789,mean,11,4,1
41.29788687067205,max,12,4,1
5.720184169343817,mean,12,4,1
41.29788687067205,max,13,4,1
5.350525387999847,mean,13,4,1
41.29788687067205,max,14,4,1
7.634403192402309,mean,14,4,1
41.29788687067205,max,15,4,1
6.836874857894887,mean,15,4,1
41.29788687067205,max,16,4,1
7.527706326290784,mean,16,4,1
41.29788687067205,max,17,4,1
9.564448202277179,mean,17,4,1
41.29788687067205,max,18,4,1
8.247480690641908,mean,18,4,1
47.97281331913345,max,19,4,1
10.345193114122662,mean,19,4,1
7.914774858101666,max,0,5,1
-5.144439211498024,mean,0,5,1
10.35622044743916,max,1,5,1
-3.4357812511322003,mean,1,5,1
19.544862544908508,max,2,5,1
-1.9015234235175578,mean,2,5,1
19.699991926837303,max,3,5,1
0.8035411673954591,mean,3,5,1
42.38633359267542,max,4,5,1
1.6155466342870197,mean,4,5,1
42.38633359267542,max,5,5,1
2.8685357206808852,mean,5,5,1
42.38633359267542,max,6,5,1
5.171397699660004,mean,6,5,1
42.38633359267542,max,7,5,1
5.74166516675529,mean,7,5,1
42.38633359267542,max,8,5,1
2.4851645156792515,mean,8,5,1
42.38633359267542,max,9,5,1
5.813836572008604,mean,9,5,1
42.93282689154999,max,10,5,1
8.84012175089231,mean,10,5,1
42.93282689154999,max,11,5,1
